PC_Beijing_Time,Time (us),Address,RSSI (dBm),Raw Data,adv_data_len,scan_rsp_len,Connectable,Addr Type,Adv Event Type
2026-05-03 05:43:23.134,2925035657,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:27.118,2929051199,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:29.116,2931046236,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:31.499,2933054997,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:33.079,2935060765,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:35.069,2937049329,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:37.092,2939067383,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:39.087,2941065828,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:41.133,2943085109,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:43.103,2945077953,db:c9:83:9f:37:a3,-26,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:45.115,2947099476,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:47.104,2949088250,db:c9:83:9f:37:a3,-26,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:49.106,2951088606,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:51.120,2953095951,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:53.168,2955121338,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:55.154,2957133375,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:57.192,2959120265,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:43:59.180,2961119983,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:01.203,2963146327,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:03.251,2965136237,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:05.160,2967125391,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:07.154,2969130071,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:11.162,2973148825,db:c9:83:9f:37:a3,-25,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
2026-05-03 05:44:13.170,2975143127,db:c9:83:9f:37:a3,-24,0x1AFF4C0012022E00071106AA81480D887C05093233A49BF416AAD3,27,0,0,1,0
